Protein Group#,Protein Accession #,Protein Description,GN,PSM#,Total Peptide#,Unique Peptide#,% Coverage,Ctrl1,Ctrl2,Ctrl3,Ctrl4,Ctrl5,Ctrl6,Ctrl7,Ctrl8,Ctrl9,Ctrl10,AD1,AD2,AD3,AD4,AD5,AD6,AD7,AD8,AD9,AD10
SJPG0110631.001,sp|Q8TD57|DYH3_HUMAN,"Dynein heavy chain 3, axonemal OS=Homo sapiens OX=9606 GN=DNAH3 PE=2 SV=1",DNAH3,4,3,1,0.92,96727.03,68836.02,77214.95,70115.3,82715.89,82723.46,41813.53,83361.79,70713.29,60710.39,95588.46,63514.25,75363.55,60849.41,86909.2,87008.37,57685.22,84076.93,106387.14,109668.9
SJPG0101221.003,sp|Q13303-3|KCAB2_HUMAN,Isoform 3 of Voltage-gated potassium channel subunit beta-2 OS=Homo sapiens OX=9606 GN=KCNAB2,KCNAB2,56,15,0,40.96,559030.28,574633.07,626760.69,541508.54,432139.27,547561.08,531526.64,678335.32,511392.34,531282.69,577302.15,604009.69,557455.42,505458.48,565243.73,527718.19,458206.52,715994.36,471338.74,670666.67
SJPG0105344.001,sp|Q9H156|SLIK2_HUMAN,SLIT and NTRK-like protein 2 OS=Homo sapiens OX=9606 GN=SLITRK2 PE=1 SV=1,SLITRK2,7,5,1,8.17,113398.89,145044.33,152100.72,144128.49,105627.6,148783.78,152150.03,142166.83,137915.57,131689.09,152140.69,141883.82,160012.78,174337.63,155251.99,163721.11,145304.21,141641.01,150168.4,162526.95
SJPG0101221.001,sp|Q13303|KCAB2_HUMAN,Voltage-gated potassium channel subunit beta-2 OS=Homo sapiens OX=9606 GN=KCNAB2 PE=1 SV=2,KCNAB2,66,19,0,59.67,558442,566891.61,636800.18,544133.83,431640.58,540561.83,524734.4,665122.49,513906.2,524555.78,568047.11,606245.75,567156.34,507576.73,569680.35,536508.1,462403.65,706905.33,470683.73,700305.01
SJPG0102282.001,sp|Q8NBM8|PCYXL_HUMAN,Prenylcysteine oxidase-like OS=Homo sapiens OX=9606 GN=PCYOX1L PE=1 SV=2,PCYOX1L,6,5,1,8.91,90404.5,110122.34,124474.41,115759.64,68747.01,114680.19,83760.49,91279.91,109781.88,75559.84,72997.36,107919.18,127725.04,144811.23,91513.19,107683.79,88451.28,123502.53,98261.12,184196.83
SJPG0160328.002,cu|TUBB2B_G235R|snp,TUBB2B|uc003mvg.3|G235R|chr6:3225620-3225620.C_T,NA,5,3,3,45.89,129369.9,108231.49,138514.22,132670.22,160570.2,166459.49,131224.91,111099.86,109068.47,118899.07,152879.84,88146.51,93445.98,78027.64,110374.99,134077.98,118315.97,130585.89,121679.61,164015.03
SJPG0110165.001,sp|P07101|TY3H_HUMAN,Tyrosine 3-monooxygenase OS=Homo sapiens OX=9606 GN=TH PE=1 SV=5,TH,1,1,0,2.27,44064.13,35976.99,35949.08,37375.83,46640.25,38099.82,44120.64,40158.93,31216.98,41019.54,34933.86,41970.61,25790.77,32812.1,40873.9,35414.61,37600.14,42613.13,32414.31,39602.15
SJPG0109217.001,sp|Q96F15|GIMA5_HUMAN,GTPase IMAP family member 5 OS=Homo sapiens OX=9606 GN=GIMAP5 PE=1 SV=1,GIMAP5,3,2,0,9.45,97585.11,114114.25,90476.74,105388.08,67018.49,117044.81,106525.56,102569.4,89054.84,87898.39,68146.62,85722.89,75244.35,82031.28,90086.48,116282.3,68684.95,84182.32,76941.8,66772.29
SJPG0100860.001,sp|Q01130|SRSF2_HUMAN,Serine/arginine-rich splicing factor 2 OS=Homo sapiens OX=9606 GN=SRSF2 PE=1 SV=4,SRSF2,12,5,0,21.27,866166.15,1144090.59,721639.22,675152.14,511705.9,1225048.61,616193.69,863327.39,1074697.82,632979.07,496146.96,659161.16,590657.39,1033939.75,1143024.48,1031322.02,943586.78,962485.96,817064.31,1194568.93
SJPG0100039.002,tr|G4Y816|G4Y816_HUMAN,Beta-synuclein OS=Homo sapiens OX=9606 GN=SNCB PE=1 SV=1,SNCB,50,4,0,44.16,12469422.19,16392404.02,16949570.66,16816459.15,9780600.45,20138530.5,14097629.8,13183768.94,24149173.53,14782642.79,8427901.32,19292818,23399636.48,28255210.94,16172859.8,17663550.87,9766990.78,19306351.36,25874716.11,45979153.42
SJPG0104062.001,sp|Q9NWB6|ARGL1_HUMAN,Arginine and glutamate-rich protein 1 OS=Homo sapiens OX=9606 GN=ARGLU1 PE=1 SV=1,ARGLU1,36,13,0,36.26,1276375.7,1309488.89,1506035.21,597038.17,807364.11,2101178.75,1219848.52,763095.59,1212086.78,665290.63,849953.71,893791.36,794728.18,1280934.24,1005204.24,1372676.23,1263739.93,1067728.72,1248288.38,1178482.02
SJPG0100101.003,sp|Q15599-3|NHRF2_HUMAN,Isoform 3 of Na(+)/H(+) exchange regulatory cofactor NHE-RF2 OS=Homo sapiens OX=9606 GN=SLC9A3R2,SLC9A3R2,16,8,1,39.38,409165.99,573015.99,411356.79,527801.17,295652.34,618917.23,383609.42,539174.57,459973.02,400874.02,309807.1,344758.11,302146.94,299084.25,292585.43,471380.92,281858.06,373501.21,387013.63,373643.87
SJPG0110591.001,sp|Q7Z7L1|SLN11_HUMAN,Schlafen family member 11 OS=Homo sapiens OX=9606 GN=SLFN11 PE=1 SV=2,SLFN11,12,8,4,8.99,111116.94,145168.13,166220.02,117406.95,92862.59,162589.12,101726.88,124186.13,153079.86,96381.6,108969.27,138825.41,92520.83,112591.28,122312.46,169918.64,108651.46,134361.35,143864.26,163959
SJPG0116777.001,tr|A4D2F7|A4D2F7_HUMAN,"Similar to Splicing factor, arginine/serine-rich, 46kD OS=Homo sapiens OX=9606 GN=LOC346472 PE=4 SV=1",LOC346472,2,2,0,7.17,1092464.81,1337032.86,777668.57,867888.2,780525.38,1448247.34,762531.49,1217392.59,1216832.78,965127.12,794632.51,1160264.01,964223.3,1108171.86,1430700.13,1533729.67,1234931.96,1051549.39,1266961.93,1175622.15
SJPG0101840.001,sp|Q8N5K1|CISD2_HUMAN,CDGSH iron-sulfur domain-containing protein 2 OS=Homo sapiens OX=9606 GN=CISD2 PE=1 SV=1,CISD2,9,4,0,31.85,97264.95,116305.56,122722.86,107400.96,76789.66,127262.68,90816.8,102105.89,104212.35,86099.3,92513.28,122023.55,121665.56,118390.69,108949.88,120939.81,95840.29,127346.81,102558.81,161177.25
SJPG0100731.001,sp|Q9HDC9|APMAP_HUMAN,Adipocyte plasma membrane-associated protein OS=Homo sapiens OX=9606 GN=APMAP PE=1 SV=2,APMAP,32,13,1,31.49,240078.87,351527.31,330863.69,387976.34,189061.71,336616.09,236946.51,328533.23,291513.55,308602.75,285299.79,321210.86,345474.63,366164.33,323959.39,328805.09,276618.74,348365.11,272769.43,483694.46
SJPG0104682.001,sp|Q9Y394|DHRS7_HUMAN,Dehydrogenase/reductase SDR family member 7 OS=Homo sapiens OX=9606 GN=DHRS7 PE=1 SV=1,DHRS7,12,5,0,17.11,253185.15,274985.67,307049.53,397936.81,180236.42,338499.28,217899.12,317088.08,304049.38,286587.28,338136.09,307580.08,324094.95,307881.66,325283.88,282094,187511.23,374295.29,245635.58,517744.74
SJPG0103332.001,sp|Q16625|OCLN_HUMAN,Occludin OS=Homo sapiens OX=9606 GN=OCLN PE=1 SV=1,OCLN,19,8,0,20.31,302185.95,463650.14,297819.16,270751.78,256311.17,419357.57,316070.94,443331.11,209281.73,276573.88,160400.81,215248.61,213548.71,224634.71,140168.25,371434.51,157998.31,292406.38,220491.61,231387.02
SJPG0102765.001,sp|Q8TEA8|DTD1_HUMAN,D-aminoacyl-tRNA deacylase 1 OS=Homo sapiens OX=9606 GN=DTD1 PE=1 SV=2,DTD1,5,3,0,14.83,176550.65,247654.38,230378.82,237229.78,139908.64,395148.44,169213.8,171187.37,232588.52,135538.08,212044.29,210150.8,212976.89,210771.38,194399.5,268580.18,160133.07,247190.5,205686.55,404778.07
SJPG0111640.001,sp|Q1RMZ1|SAMTR_HUMAN,S-adenosylmethionine sensor upstream of mTORC1 OS=Homo sapiens OX=9606 GN=BMT2 PE=1 SV=1,BMT2,1,1,0,1.98,603184.08,439234.99,281152.98,473840.7,198110.2,560660.8,242596.8,214259.59,535691.98,213490.96,260071.08,132994.51,177358.55,250015.81,164098.51,387796.9,133642.94,113469.74,140412.5,615071.66
SJPG0113058.001,sp|Q9NRR1|CYTL1_HUMAN,Cytokine-like protein 1 OS=Homo sapiens OX=9606 GN=CYTL1 PE=1 SV=1,CYTL1,2,1,1,8.82,48601.59,52327.96,87273.21,113023.43,36596.05,87382,51003.64,49872.24,66546.17,44510.92,91257.09,53069.27,66402.94,46965.68,67537.14,66590.34,57832.6,76837.65,60270.6,103189.97
SJPG0108298.001,sp|Q14162|SREC_HUMAN,Scavenger receptor class F member 1 OS=Homo sapiens OX=9606 GN=SCARF1 PE=1 SV=3,SCARF1,1,1,0,2.89,32813.16,51877.89,42490.3,37013.54,33288.96,56399.04,36626.45,36764.38,44035.97,40074.54,29974.15,35461.29,46638.87,48191.59,28940.76,38586.97,36160.86,48234.06,40539.41,55775.21
SJPG0100039.001,sp|Q16143|SYUB_HUMAN,Beta-synuclein OS=Homo sapiens OX=9606 GN=SNCB PE=1 SV=1,SNCB,98,7,2,51.49,19496884.48,25793769.48,25791589.44,26854090.25,14732134.53,31532273.37,21777551.9,21049724.16,39387600.81,23040984.33,12217656.8,29789375.09,36819717.42,46592976.04,25189648.33,28790911.92,14507821.55,30253404.64,42260086.58,74735828.92
SJPG0104648.001,sp|Q9UQ13|SHOC2_HUMAN,Leucine-rich repeat protein SHOC-2 OS=Homo sapiens OX=9606 GN=SHOC2 PE=1 SV=2,SHOC2,3,3,0,6.87,62729.95,74478.18,78650.28,82270.58,71367.09,99165.9,60186.54,60291.56,58737.56,91586.81,74716.37,65538.18,68682.14,69806.93,76564.26,79104.98,61209.77,77178.06,79796.35,79626.03
SJPG0114884.001,sp|Q8NHV1|GIMA7_HUMAN,GTPase IMAP family member 7 OS=Homo sapiens OX=9606 GN=GIMAP7 PE=1 SV=1,GIMAP7,3,3,3,10.67,111388.17,121241.49,108106.89,97728.13,86754.35,112936.41,101115.92,110890.82,104043.55,80728.88,74653.42,80565.52,76982.78,84261.29,84313.61,118494.95,79269.68,102393.59,86585.13,51439.01
SJPG0100101.001,sp|Q15599|NHRF2_HUMAN,Na(+)/H(+) exchange regulatory cofactor NHE-RF2 OS=Homo sapiens OX=9606 GN=SLC9A3R2 PE=1 SV=2,SLC9A3R2,20,11,0,38.57,463294.27,624847.97,472676.74,641575.93,338416.07,662873.93,427239.08,620997.49,554272.88,479949.07,369051.6,406106.03,346255.69,360279.2,347880.42,533734.86,329790.12,444980.11,443041.2,428766.4
SJPG0116320.001,sp|Q6ZNG9|KRBA2_HUMAN,KRAB-A domain-containing protein 2 OS=Homo sapiens OX=9606 GN=KRBA2 PE=1 SV=1,KRBA2,1,1,1,2.24,208753.36,157210.42,73556.77,260531.32,59271.29,172740.69,93580.97,85880.33,134785.81,74169.96,126439.04,48873.04,75075.18,130309.84,54344.52,155778.93,50250.59,47471.61,52976.35,157242.3
SJPG0106646.001,sp|P11308|ERG_HUMAN,Transcriptional regulator ERG OS=Homo sapiens OX=9606 GN=ERG PE=1 SV=3,ERG,6,5,0,16.7,84853.71,117364.66,99973.89,91592.04,69387.7,130092.11,96779.12,87486.12,85926.16,71037.27,70255.85,91669.49,73830.72,94185.24,68225.28,125218.27,76534.21,87781.8,90264.35,84033.11
SJPG0107320.001,sp|Q5U651|RAIN_HUMAN,Ras-interacting protein 1 OS=Homo sapiens OX=9606 GN=RASIP1 PE=1 SV=1,RASIP1,48,17,9,23.16,233876.92,278356.21,257546.33,198925.52,181478.55,360779.14,228448.22,254768.67,206093.02,180008.94,164278.04,189493.21,214452.33,202546.93,165830.71,297693.73,162803.31,190530.42,203999.84,179888.96
SJPG0115203.001,tr|Q1HDL3|Q1HDL3_HUMAN,HBeAg-binding protein 2 binding protein A OS=Homo sapiens OX=9606 GN=HBEBP2BPA PE=1 SV=1,HBEBP2BPA,4,2,0,8.36,184065.75,253131.07,233953.84,243815.7,124569.76,265312.47,182450.48,230866.25,264355.4,186706.62,210303.11,287404.14,274240.13,289086.27,231978.77,200386.24,163722.92,293301.02,239745.76,393888.96
SJPG0104514.001,sp|Q96N66|MBOA7_HUMAN,Lysophospholipid acyltransferase 7 OS=Homo sapiens OX=9606 GN=MBOAT7 PE=1 SV=2,MBOAT7,24,9,0,22.46,319410.06,446273.57,403328.87,484086.95,315516.4,331863.04,413970.69,396149.61,391656.56,587362.89,291247.08,380145.26,430366.93,480101.47,374375.42,399674.3,383999.3,419082.12,361537.58,495178.21
SJPG0119801.001,sp|Q8NBX0|SCPDL_HUMAN,Saccharopine dehydrogenase-like oxidoreductase OS=Homo sapiens OX=9606 GN=SCCPDH PE=1 SV=1,SCCPDH,46,15,14,43.59,459210.64,591987.79,578502.9,676689.58,316919.23,720471.9,424601.2,512517.22,537423.19,452527.66,432644.26,654917.31,653021.83,735349.79,650510.25,573887.89,560983.59,788459.8,485729.06,759141.69
SJPG0102940.001,sp|Q08170|SRSF4_HUMAN,Serine/arginine-rich splicing factor 4 OS=Homo sapiens OX=9606 GN=SRSF4 PE=1 SV=2,SRSF4,32,11,3,20.85,900904.49,1128794.32,781729.77,1012279.84,776948.19,1100739.72,640392.18,994552.41,1567342.84,1254721.56,929588.98,875724.51,650440.38,893804.61,1188107.3,894397.69,1004497.67,1479676.97,1047351.47,1092185.32
SJPG0105579.001,sp|P51797|CLCN6_HUMAN,Chloride transport protein 6 OS=Homo sapiens OX=9606 GN=CLCN6 PE=1 SV=2,CLCN6,44,16,0,19.68,436925.9,430309.96,460896.74,458651.71,398775.3,427622.73,487973.34,431002.69,460814.68,435561.86,434582.15,447580.84,461806.8,475305.91,443374.88,464918.48,500308.25,484333.57,479679.95,508901.64
SJPG0100845.001,sp|P54727|RD23B_HUMAN,UV excision repair protein RAD23 homolog B OS=Homo sapiens OX=9606 GN=RAD23B PE=1 SV=1,RAD23B,39,10,3,26.65,1038991.34,1294832.67,1095495.65,1392323.09,908047.18,2017972.79,981835.29,1303082.49,1111157.85,1137321.98,830712.27,1015623.01,944292.71,1035357.19,975233.69,1345041.53,832251.89,1046698.45,1188226.58,1017508.53
SJPG0104135.001,sp|O00519|FAAH1_HUMAN,Fatty-acid amide hydrolase 1 OS=Homo sapiens OX=9606 GN=FAAH PE=1 SV=2,FAAH,7,5,3,12.61,171525.56,193461.36,175097.6,227738.36,146715.26,258700.69,179249.02,193321.01,184039.28,216226.56,213557.12,184767,218022.44,192842.23,182943.44,186735.78,157318.92,237096.31,152624.52,277109.07
SJPG0109505.001,sp|Q01543|FLI1_HUMAN,Friend leukemia integration 1 transcription factor OS=Homo sapiens OX=9606 GN=FLI1 PE=1 SV=1,FLI1,5,4,0,16.15,66888.36,85138.7,80882.35,74081.21,54533.53,98154.74,71649.89,68024.48,77884.78,63371.34,47189.11,71330.42,72978.99,71121.06,64885.68,75741.51,58978.9,77655.58,66029.59,87328.15
SJPG0106344.001,sp|Q96AP7|ESAM_HUMAN,Endothelial cell-selective adhesion molecule OS=Homo sapiens OX=9606 GN=ESAM PE=1 SV=1,ESAM,4,3,2,12.82,63105,70126.23,67490.29,54605.48,53093.5,108780.72,91296.9,87962.44,47229.16,45286.89,50679.45,60874.83,53615.06,62227.18,47422.19,98552,42934.02,55392.84,52868.94,46230.76
SJPG0168021.001,cu|MBOAT7_54693228_418aa|ribo,NA,NA,22,9,1,23.44,307103.74,441037.68,396091.3,477205.07,301539.63,320042.55,411168.86,380450.69,375923.25,606002.82,274561.03,370987.8,415584.26,475822.1,352482.94,382262.6,373223.43,399525.04,348252.37,471443.31
SJPG0103466.001,sp|O15260|SURF4_HUMAN,Surfeit locus protein 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=3,SURF4,7,3,0,9.67,101015.77,112221,117226.5,119727.95,88041.68,126054.32,101429.57,131216.94,135689.38,134287.48,112608.4,104709.64,117625.46,113357.62,116282.24,106660.36,88371.36,126969.02,108718.78,131949.2
SJPG0101987.001,sp|P35270|SPRE_HUMAN,Sepiapterin reductase OS=Homo sapiens OX=9606 GN=SPR PE=1 SV=1,SPR,4,3,1,18.01,94345.1,127055.44,145653.56,153307.16,75573.91,142149.48,74962.57,105315.48,128303.27,93231.46,126164.79,101430.52,122855.35,122414.55,141630.41,151405.09,86660.11,166337.8,133405.33,133108.13
SJPG0109163.001,sp|Q2M1Z3|RHG31_HUMAN,Rho GTPase-activating protein 31 OS=Homo sapiens OX=9606 GN=ARHGAP31 PE=1 SV=2,ARHGAP31,3,3,0,3.05,54952.03,67212.86,67348.63,54960.59,38693.61,88233.32,48954.39,65667.07,52010.99,50724.48,53618.16,52074.43,48271.24,54939.09,59505.69,50163.23,44985.69,64718.93,52113.44,65772.5
SJPG0106872.001,sp|Q8ND30|LIPB2_HUMAN,Liprin-beta-2 OS=Homo sapiens OX=9606 GN=PPFIBP2 PE=1 SV=3,PPFIBP2,25,11,0,14.95,621332.28,611077.91,643313.8,565826.17,489283.04,757874.3,598349.05,604875.81,603262.87,525194.1,610859.7,547541.64,630877.28,555998.74,526939.55,660795.87,539720.17,527038.08,560591.03,517686.66
SJPG0102236.004,sp|Q9BZ29-5|DOCK9_HUMAN,Isoform 2 of Dedicator of cytokinesis protein 9 OS=Homo sapiens OX=9606 GN=DOCK9,DOCK9,184,83,0,44,1143620.29,1226526.59,1149171.02,1125172.99,1036224.05,1391726.5,1167153.24,1087946.22,1158987.72,1067876.23,1058319.57,936683.42,945045.69,981463.93,891821.92,1102402.2,910444.61,970798,1027263.7,971401.19
SJPG0102236.001,sp|Q9BZ29|DOCK9_HUMAN,Dedicator of cytokinesis protein 9 OS=Homo sapiens OX=9606 GN=DOCK9 PE=1 SV=2,DOCK9,182,82,0,43.45,1144250.2,1222709.02,1149511.27,1122312.52,1039509.05,1390012.83,1168124.52,1086271.19,1158098.2,1067284.96,1053123.23,936460.9,946037.58,984894.18,891315.39,1104053.75,911399.49,969535.46,1028379.03,970573.61
SJPG0119285.001,sp|Q9BRX8|PXL2A_HUMAN,Peroxiredoxin-like 2A OS=Homo sapiens OX=9606 GN=PRXL2A PE=1 SV=3,PRXL2A,27,8,0,32.75,425153.8,500105.78,498642.84,461439.98,271904.28,404060.63,371102.08,461606.18,405349.42,457285.3,382896.17,478538.11,484121.56,488951.07,564558.96,487042.28,366607.33,610784.87,417499.81,553398.56
SJPG0104380.001,sp|Q8WWP7|GIMA1_HUMAN,GTPase IMAP family member 1 OS=Homo sapiens OX=9606 GN=GIMAP1 PE=1 SV=1,GIMAP1,20,10,7,37.91,318165.38,327238.63,282715.53,333010.53,246270.77,352533.55,271733.7,349322.31,319165.46,292214.05,267139.4,248908.64,203353.56,236531.33,245574.52,296176.61,220241.76,263462.5,252471.54,266214.02
SJPG0107047.001,sp|Q8ND71|GIMA8_HUMAN,GTPase IMAP family member 8 OS=Homo sapiens OX=9606 GN=GIMAP8 PE=2 SV=2,GIMAP8,13,11,11,19.55,107874.31,150854.92,131675.01,127209.43,121716.08,152453.8,127335.61,137143.34,150878.28,100385.33,105109.31,110063.88,100790.81,110368.17,113673.4,143315.89,83227.28,105045.78,105971.1,117952.18
SJPG0106500.001,sp|O95749|GGPPS_HUMAN,Geranylgeranyl pyrophosphate synthase OS=Homo sapiens OX=9606 GN=GGPS1 PE=1 SV=1,GGPS1,2,2,1,6.33,60490.42,72354.32,80223.6,62589.02,54556.93,91658.77,57525.26,64027.72,67103.12,66610.62,87051.65,72975.95,61350.84,51369.09,66297.38,66439.76,59192.19,75527.46,64350.73,78485.98
SJPG0121214.001,sp|Q8N9X5|TMM75_HUMAN,Putative transmembrane protein 75 OS=Homo sapiens OX=9606 GN=TMEM75 PE=5 SV=1,TMEM75,9,1,1,5.07,1824366.42,1849608.66,1339075.4,1388635.79,1616689.92,2805829.1,1806109.29,1248132.76,1924537.66,1227389.65,2034711.2,1944173.37,1129645.16,1616135.25,1278567.07,1330815.63,1617998.43,1715330.49,1442478.13,1773081.83
SJPG0138784.002,cu|ESD_G190E|snp,ESD|uc001vbn.3|G190E|chr13:47354101-47354101.C_T,NA,9,3,1,63.92,356972.33,507335.48,473905.95,594151.92,296024.01,953082.75,350404.24,339155.11,565069.07,454840.88,576915.56,452348.46,427194.4,449328.69,399581.13,511965.71,325847.98,698238.22,444200.17,847525.83
SJPG0114917.001,sp|Q6ZMI3|GLDN_HUMAN,Gliomedin OS=Homo sapiens OX=9606 GN=GLDN PE=1 SV=1,GLDN,3,1,0,1.27,261555.88,421695.36,238502.24,280910.92,321901.82,692494.61,201277.29,270860.43,310197.33,218433.62,332403.85,160773.74,225687.54,134252.99,154020.62,217905.96,156307.14,195433.8,154320.33,308510.85
SJPG0106512.001,sp|Q99442|SEC62_HUMAN,Translocation protein SEC62 OS=Homo sapiens OX=9606 GN=SEC62 PE=1 SV=1,SEC62,3,2,0,4.76,124296.31,190237.42,157481.91,177585.08,88656.39,199733.83,118825.81,84385.99,163037.09,134531.24,107855.07,143511.4,146968.11,154185.22,116052.93,127620.55,112963.47,222703.02,123715.71,248039.49
SJPG0117275.001,sp|A8MW99|MEI4_HUMAN,Meiosis-specific protein MEI4 OS=Homo sapiens OX=9606 GN=MEI4 PE=1 SV=2,MEI4,1,1,1,1.82,65475.15,152058.56,74480.82,112703.02,82226.08,247795.29,69106.83,91838.9,113407.01,84345.5,98685.63,101036.34,80288.56,70115.07,61277.47,75657.46,61952.36,78929.24,70810.55,157047.73
SJPG0109555.003,sp|P28799-3|GRN_HUMAN,Isoform 3 of Progranulin OS=Homo sapiens OX=9606 GN=GRN,GRN,9,4,1,8.23,446559.5,655707.61,595471.24,576313.98,236919.16,575668.4,279038.61,359980.54,529577.2,416658.86,540195.69,746235.58,531778.39,539355.83,644437.07,519404.9,697452.41,555949.68,372283.19,985642.86
SJPG0117921.001,sp|Q8N427|TXND3_HUMAN,Thioredoxin domain-containing protein 3 OS=Homo sapiens OX=9606 GN=NME8 PE=2 SV=2,NME8,1,1,1,1.7,108487.05,145241.04,120228.36,156520.94,103944.27,168167.76,100030.42,180139.75,187691.97,188184.86,142396.26,152189.22,150261.92,176621.73,170178.78,188861.97,118289.87,137283.74,157708.78,242135.03
SJPG0102745.001,sp|Q13247|SRSF6_HUMAN,Serine/arginine-rich splicing factor 6 OS=Homo sapiens OX=9606 GN=SRSF6 PE=1 SV=2,SRSF6,12,5,0,12.79,721159.11,976645.21,637651.83,834080.02,601687.1,874972.73,549048.43,715662.81,1371152.57,1003974.95,755675.35,725836.27,521887.86,732965.4,919367.13,728173.31,920502.48,1213616.75,820981.86,970212.53
SJPG0106155.001,sp|O15211|RGL2_HUMAN,Ral guanine nucleotide dissociation stimulator-like 2 OS=Homo sapiens OX=9606 GN=RGL2 PE=1 SV=1,RGL2,21,12,1,20.98,275758.29,306825.16,319736.9,289195.67,253217.99,372309.16,306998.23,274601.73,294167.18,250019.27,285225.94,289036.21,326070.39,293668.94,282604.41,318428.47,276869.67,277381.66,275546.8,300614.91
